Transaction_ID,Product_ID,Product_Name,Category,Units_Sold,Standard_Retail_Price,Promo_Discount_Rate,Selling_Price_Per_Unit,Gross_Revenue,Net_Revenue,Total_COGS,Shipping_Mode,Shipping_Cost,Return_Status,Marketing_Spend_Allocated,Discount_value,Return_Deficit,True_Net_profit
T10001,P002,Aura Soundbar 360,Premium Electronics,4,300.00,0.05,285.00,1200.00,1140.00,600.00,Standard,16.00,No,52.48,60,0,471.52
T10002,P001,Quantum X Smartphone,Premium Electronics,3,1000.00,0.10,900.00,3000.00,2700.00,1800.00,Standard,0.75,No,294.57,300,0,604.68
T10003,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.30,42.00,960.00,672.00,240.00,Standard,12.00,No,124.64,288,0,295.36
T10004,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.00,300.00,300.00,300.00,150.00,Standard,4.00,No,20.28,0,0,125.72
T10005,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,20,60.00,0.00,60.00,1200.00,1200.00,300.00,Express Air,105.00,No,423.40,0,0,371.60
T10006,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.05,285.00,300.00,285.00,150.00,Standard,4.00,No,19.90,15,0,111.10
T10007,P001,Quantum X Smartphone,Premium Electronics,4,1000.00,0.05,950.00,4000.00,3800.00,2400.00,Standard,1.00,No,284.80,200,0,1114.20
T10008,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.15,680.00,800.00,680.00,400.00,Express Air,297.50,No,55.79,120,0,-73.29
T10009,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,21,60.00,0.15,51.00,1260.00,1071.00,315.00,Standard,15.75,No,441.84,189,0,298.41
T10010,P001,Quantum X Smartphone,Premium Electronics,5,1000.00,0.25,750.00,5000.00,3750.00,3000.00,Standard,1.25,No,444.65,1250,0,304.10
T10011,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,18,60.00,0.30,42.00,1080.00,756.00,270.00,Standard,13.50,Yes,314.46,324,771,-612.96
T10012,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.00,300.00,300.00,300.00,150.00,Standard,4.00,No,22.75,0,0,123.25
T10013,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.00,200.00,200.00,200.00,90.00,Standard,6.00,No,21.23,0,0,82.77
T10014,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,36,60.00,0.50,30.00,2160.00,1080.00,540.00,Standard,27.00,Yes,723.96,1080,1095,-1305.96
